version,M,K,N,P,run,t_overall,t_work,t_io_in,t_io_out
serial,256,256,256,1,1,0.003959,0.003166,0.000762,0.000017
serial,256,256,256,1,2,0.004301,0.003385,0.000892,0.000009
serial,256,256,256,1,3,0.004125,0.003386,0.000713,0.000011
pthreads,256,256,256,1,1,0.005563,0.004684,0.000815,0.000010
pthreads,256,256,256,1,2,0.005374,0.004629,0.000681,0.000011
pthreads,256,256,256,1,3,0.005562,0.004839,0.000656,0.000012
pthreads,256,256,256,2,1,0.003820,0.002938,0.000759,0.000016
pthreads,256,256,256,2,2,0.003540,0.002777,0.000645,0.000012
pthreads,256,256,256,2,3,0.003379,0.002663,0.000611,0.000011
pthreads,256,256,256,4,1,0.002519,0.001610,0.000674,0.000018
pthreads,256,256,256,4,2,0.002671,0.001560,0.000891,0.000013
pthreads,256,256,256,4,3,0.002668,0.001797,0.000663,0.000011
pthreads,256,256,256,8,1,0.002203,0.000978,0.000658,0.000013
pthreads,256,256,256,8,2,0.002217,0.000972,0.000713,0.000013
pthreads,256,256,256,8,3,0.002126,0.000941,0.000755,0.000013
pthreads,256,256,256,16,1,0.002424,0.000432,0.000703,0.000017
pthreads,256,256,256,16,2,0.002669,0.000582,0.000785,0.000019
pthreads,256,256,256,16,3,0.002432,0.000443,0.000797,0.000016
pthreads,256,256,256,32,1,0.002690,0.000219,0.000573,0.000014
pthreads,256,256,256,32,2,0.002924,0.000260,0.000768,0.000016
pthreads,256,256,256,32,3,0.002939,0.000262,0.000724,0.000015
pthreads,256,256,256,64,1,0.004205,0.000273,0.000751,0.000015
pthreads,256,256,256,64,2,0.004213,0.000259,0.000854,0.000015
pthreads,256,256,256,64,3,0.004189,0.000270,0.000674,0.000014
pthreads,256,256,256,128,1,0.007437,0.000551,0.000757,0.000016
pthreads,256,256,256,128,2,0.007202,0.000576,0.000712,0.000014
pthreads,256,256,256,128,3,0.007512,0.000563,0.000813,0.000014
openmp,256,256,256,1,1,0.006363,0.005717,0.000627,0.000011
openmp,256,256,256,1,2,0.006196,0.005731,0.000450,0.000008
openmp,256,256,256,1,3,0.006130,0.005693,0.000422,0.000009
openmp,256,256,256,2,1,0.003451,0.003013,0.000421,0.000009
openmp,256,256,256,2,2,0.003447,0.002992,0.000440,0.000009
openmp,256,256,256,2,3,0.003468,0.002982,0.000471,0.000009
openmp,256,256,256,4,1,0.002149,0.001673,0.000459,0.000010
openmp,256,256,256,4,2,0.002146,0.001629,0.000499,0.000011
openmp,256,256,256,4,3,0.002097,0.001648,0.000432,0.000010
openmp,256,256,256,8,1,0.002059,0.001582,0.000461,0.000011
openmp,256,256,256,8,2,0.001675,0.001097,0.000560,0.000012
openmp,256,256,256,8,3,0.001796,0.001205,0.000570,0.000012
openmp,256,256,256,16,1,0.001574,0.001011,0.000538,0.000012
openmp,256,256,256,16,2,0.001624,0.001022,0.000580,0.000014
openmp,256,256,256,16,3,0.001575,0.001006,0.000549,0.000014
